state,energy,internet_access,transportation,development_rank,population,population_change,net_migration,migration_percentage,median_household_income_2016,population_rank,stability_taxes_rank,corporate_taxes,individual_taxes,sales_taxes,property_taxes,violent_crime_per_100000_citizens,property_crime_per_100000_citizens,violent_crimes_rank,property_crimes_rank,unemployment,unemployment_rank,average,stability_rank,total_2011_2015,urban_2011_2015,rural_2011_2015,rank_completion_graduate,number_top100,rank_top100,talent_rank
NORTH CAROLINA,31,28,25,24,10042802,116730,86213,1,50595,40,12,3,16,20,33,347,2750.1,25,32,5.1,33,25.5,24,0.29028,0.32261,0.18056,26,8,8,13
NORTH DAKOTA,6,2,13,24,756927,-155,-5164,-1,61898,17,17,23,20,32,6,239.4,2116.5,10,19,3.1,4,12.5,5,0.28173,0.34372,0.22452,29,1,40,42
OHIO,33,27,19,23,11613423,36055,13926,0,52357,35,42,46,44,28,13,291.9,2587.7,19,24,5,29,28.5,33,0.26667,0.29388,0.16109,37,12,4,19
OKLAHOMA,19,37,43,31,3911338,9657,-3148,0,49204,43,26,9,33,39,19,422,2885.9,37,38,4.8,25,31.5,37,0.24469,0.27155,0.19466,44,3,22,37
OREGON,1,17,4,3,4028977,56787,45687,1,57379,22,7,30,36,4,17,259.8,2946.6,14,40,4.8,25,21.5,17,0.31438,0.33957,0.19045,18,3,22,18
PENNSYLVANIA,25,11,49,29,12802503,18452,11596,0,56897,24,34,43,18,21,34,315.1,1812.8,22,8,5.4,39,25.75,26,0.29333,0.30996,0.17049,24,8,8,10
RHODE ISLAND,43,25,50,48,1056298,2073,944,0,60046,20,37,32,29,23,43,242.5,1897.5,11,12,5.2,36,24,23,0.32458,0.32458,0,14,2,28,20
SOUTH CAROLINA,23,42,35,33,4896146,64547,54462,1,49587,42,35,19,34,34,27,504.5,3293.3,44,46,5,29,38.5,46,0.26459,0.28159,0.17373,39,2,28,40
SOUTH DAKOTA,3,5,36,7,858469,8124,3249,0,54926,29,3,1,1,33,28,383.1,1943,29,14,3,3,12.25,3,0.2745,0.3038,0.2473,34,1,40,45
TENNESSEE,28,15,11,15,6600299,66580,50701,1,48506,44,16,24,8,46,29,612.1,2936.2,47,39,4.7,24,31.5,37,0.25352,0.28627,0.14681,42,3,22,35
TEXAS,26,23,22,21,27469114,399734,189580,1,56583,26,15,49,6,37,37,412.2,2831.3,35,35,4.6,22,26.75,30,0.28099,0.29692,0.16098,30,19,2,10
UTAH,21,4,2,8,2995919,57512,22587,1,65931,12,8,5,10,16,3,236,2980,9,42,3.4,8,16.75,10,0.31675,0.3243,0.25625,16,3,22,16
VERMONT,49,13,32,35,626042,303,15,0,57661,21,41,38,37,15,49,118,1406.6,1,1,3.2,6,12.25,3,0.36182,0.42794,0.32961,8,1,40,24
VIRGINIA,37,43,30,39,8382993,55640,20970,0,68127,9,22,10,35,10,30,195.6,1866.5,3,10,4.1,17,13,7,0.36891,0.3998,0.17029,7,6,10,4
WASHINGTON,2,9,15,4,7170351,124809,90563,1,67064,11,20,44,6,49,25,284.4,3463.8,17,48,5.3,37,30.5,36,0.33557,0.34658,0.23872,12,4,16,9
WEST VIRGINIA,50,39,48,50,1844128,-12780,-9640,-1,43175,50,19,13,28,17,18,337.9,2020,24,17,6.1,48,27,31,0.19559,0.22093,0.15621,51,1,40,51
WISCONSIN,14,41,34,26,5771337,22566,6182,0,56808,25,32,35,39,8,21,305.8,1974,21,15,4,15,20.75,14,0.28373,0.31387,0.20216,28,3,22,25
WYOMING,20,48,9,36,586107,-5595,-8285,-1,61686,18,1,1,1,6,38,222.1,1902.6,8,13,5.3,37,14.75,8,0.2601,0.25168,0.26381,41,1,40,50
