SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2017,NPOPCHG_2017,BIRTHS2017,DEATHS2017,NATURALINC2017,INTERNATIONALMIG2017,DOMESTICMIG2017,NETMIG2017,RESIDUAL2017,RBIRTH2017,RDEATH2017,RNATURALINC2017,RINTERNATIONALMIG2017,RDOMESTICMIG2017,RNETMIG2017,NORM_POP
40,1,2,34,New Jersey,9005644,27228,101625,74111,27514,56942,-57274,-332,46,11.30167493,8.241854175,3.059820752,6.332496667,-6.369418251,-0.036921585,0.227779625149352
40,4,8,35,New Mexico,2088070,2638,25209,17861,7348,2771,-7437,-4666,-44,12.08050218,8.55923874,3.521263438,1.327901604,-3.563913471,-2.236011867,0.0528135247057964
40,1,2,36,New York,19849399,13113,232766,159676,73090,130411,-190508,-60097,120,11.73047662,8.047032576,3.683444043,6.572193475,-9.600842218,-3.028648743,0.502050565585306
40,3,5,37,North Carolina,10273419,116730,120525,90129,30396,20162,66051,86213,121,11.79876289,8.823154533,2.975608352,1.973753639,6.466045113,8.439798752,0.259845440128683
40,2,4,38,North Dakota,755393,-155,11064,6086,4978,1489,-6653,-5164,31,14.64517807,8.055906882,6.589271189,1.970957172,-8.806432548,-6.835475376,0.0191061443668487
40,2,3,39,Ohio,11658609,36055,137396,114938,22458,22131,-8205,13926,-329,11.80319042,9.873905354,1.929285062,1.901193682,-0.704861694,1.196331987,0.294881031027083
40,3,7,40,Oklahoma,3930864,9657,52280,39416,12864,7322,-10470,-3148,-59,13.31623211,10.03964432,3.276587795,1.864985683,-2.666812361,-0.801826677,0.0994232870445558
40,4,9,41,Oregon,4142776,56787,46551,35527,11024,7712,37975,45687,76,11.31421301,8.634831594,2.679381414,1.874400351,9.229817597,11.10421795,0.104783174235816
40,1,2,42,Pennsylvania,12805537,18452,138818,131458,7360,37389,-25793,11596,-504,10.84828276,10.27311699,0.575165765,2.921857714,-2.015659044,0.906198669,0.323890264560331
40,1,1,44,Rhode Island,1059639,2073,10915,9760,1155,4798,-3854,944,-26,10.31076348,9.219702391,1.091061092,4.532390581,-3.640648874,0.891741707,0.0268014341021735
40,3,5,45,South Carolina,5024369,64547,57996,48071,9925,5447,49015,54462,160,11.61756621,9.629423155,1.988143055,1.091124959,9.818522102,10.90964706,0.127081293401341
40,2,4,46,South Dakota,869666,8124,12154,7275,4879,1273,1976,3249,-4,14.04106266,8.404536023,5.636526633,1.470649396,2.282799063,3.753448459,0.0219964497247655
40,3,6,47,Tennessee,6715984,66580,81419,65544,15875,10469,40232,50701,4,12.18355951,9.808020538,2.375538967,1.566583776,6.020326533,7.586910309,0.169867287450964
40,3,7,48,Texas,28304596,399734,404311,194621,209690,110417,79163,189580,464,14.38587079,6.92484884,7.461021951,3.928769425,2.816714582,6.745484007,0.7159077426205
40,4,8,49,Utah,3101833,57512,51461,16575,34886,5019,17568,22587,39,16.74575678,5.393616886,11.35213989,1.63321648,5.716745789,7.349962269,0.078454617794784
40,1,1,50,Vermont,623657,303,5807,5497,310,933,-918,15,-22,9.31347037,8.816281492,0.497188878,1.496378139,-1.472320613,0.024057526,0.0157741475991911
40,3,5,51,Virginia,8470020,55640,101515,66786,34729,33365,-12395,20970,-59,12.0247092,7.910971074,4.113738125,3.952168866,-1.468219185,2.483949681,0.214232094962616
40,4,9,53,Washington,7405743,124809,90459,56457,34002,25984,64579,90563,244,12.31851153,7.688192503,4.63031903,3.538445082,8.794228946,12.33267403,0.187313351992643
40,3,5,54,West Virginia,1815857,-12780,19098,22227,-3129,867,-10507,-9640,-11,10.48046725,12.19757805,-1.717110798,0.475786213,-5.765958182,-5.290171969,0.0459284451822465
40,2,3,55,Wisconsin,5795483,22566,66012,49431,16581,8268,-2086,6182,-197,11.41246845,8.545866326,2.866602123,1.429411155,-0.360637599,1.068773556,0.146585068796795
40,4,8,56,Wyoming,579315,-5595,7513,4847,2666,328,-8613,-8285,24,12.90643991,8.326569177,4.57987073,0.563464966,-14.796109,-14.23264403,0.0146526060261095
40,X,X,72,Puerto Rico,3337177,-69343,28267,29332,-1065,-68278,0,-68278,0,8.383235486,8.699085976,-0.31585049,-20.24942698,0,-20.24942698,0.084407170227586
